label	content	text2
9	Mantidactylus mocquardi is a species of frog in the Mantellidae family.It is endemic to Madagascar.Its natural habitats are subtropical or tropical moist lowland forests subtropical or tropical moist montane forests subtropical or tropical high-altitude shrubland intermittent rivers and heavily degraded former forest.It is threatened by habitat loss.	
7	Paint Creek runs through Jones Haskell and Throckmorton counties and is the main tributary of the Clear Fork Brazos River.Lake Stamford is formed where Paint Creek is impounded by Stamford Dam. The lake's primary inflow (and outflow) is Paint Creek.One mile past (east) of Stamford Dam is a site called Scott Crossing. This is where California Creek Paint Creek's most significant tributary flows into Paint Creek.	
12	The Red Chapel (Danish: Det Røde Kapel) is a 2009 Danish documentary film directed by Mads Brügger. It chronicles the visit of Brügger and Danish comedians who are adopted from South Korea Jacob Nossell and Simon Jul to North Korea under the pretense of a small theatre troupe on a cultural exchange. This is also the first time the two teenage comedians have ever visited North Korea.	
6	Slater Library and Fanning Annex is a historic building at 26 Main Street in Griswold Connecticut within the borough of Jewett City Connecticut.The Romanesque library was constructed in 1884 with funds donated by John Fox Slater a New England industrialist and philanthropist. The library was added to the National Register of Historic Places in 2002.	
9	Amblyptila cynanchi is a moth of the Gracillariidae family. It is known from South Africa.The larvae feed on Cynanchum ellipticum and Cynanchum obtusifolium. They mine the leaves of their host plant. The mine has the form of a moderate irregularly rounded or oval transparent whitish blotch-mine.	
12	Air Bud: World Pup (known as: Air Bud 3 in most international countries) is the third film in the Air Bud series. It was the first Air Bud movie to be filmed without Buddy the canine star of the first two films; Buddy died after production of the previous film Golden Receiver.World Pup was the first film in the Air Bud series not to be released theatrically.	
4	Paul Holloway (born 20 August 1949) is an Australian politician who represented the Australian Labor Party in the South Australian House of Assembly seat of Mitchell from 1989 to 1993 and in the South Australian Legislative Council from 1995 to 2011.	
13	A Word Child is the 17th novel by Iris Murdoch.First published in 1975 by Chatto and Windus A Word Child charts the trials and tribulations of the title character the word child Hilary Burde as he attempts to recover his soul from the misery of his troubled past.	
0	Maire Tecnimont SpA is the parent company of the Italian group Maire Tecnimont which consists of at least 50 operating companies in the engineering and main contracting sector. It deals in oil and gas chemicals and petrochemicals energy infrastructure and civil engineering. It is also active in the renewable energy sector in the provision of project management engineering procurement and construction.	
9	Anchitherium (meaning near beast) was a fossil horse with a three-toed hoof. Anchitherium was a browsing (leaf eating) horse that originated in the early Miocene of North America and subsequently dispersed to Europe and Asia where it gave rise to the larger bodied genus Sinohippus. It was around 60 centimetres (6.0 hands) high at the shoulder and probably represented a side-branch of horse evolution that left no modern descendants.	
5	USS Gilmore (DE-18) was an Evarts-class short-hull destroyer escort in the service of the United States Navy named after Commander Walter William Gilmore Supply Corps killed on 8 May 1942 while serving as the supply officer of the Lexington (CV-2) in the Battle of Coral Sea.Originally allocated to the United Kingdom under terms of the Lend-Lease Program the ship was launched as HMS Halder (BDE-18) on 22 October 1942 by Mare Island Naval Shipyard California; sponsored by Mrs. Otis J.	
8	Rybotycze [rɨbɔˈtɨt͡ʂɛ] (Yiddish: ריבאטיטש) is a village in the administrative district of Gmina Fredropol within Przemyśl County Subcarpathian Voivodeship in south-eastern Poland close to the border with Ukraine. It lies approximately 10 kilometres (6 mi) south-west of Fredropol 18 km (11 mi) south-west of Przemyśl and 63 km (39 mi) south-east of the regional capital Rzeszów.The village has a population of 440.	
6	Corpus Christi Church is a Roman Catholic church in Boscombe on the outskirts of Bournemouth in Dorset. It in the Diocese of Portsmouth and is served by the Society of Jesus. It is situated on St. James' Square on the corner of Parkwood Road and Christchurch Road. It was founded in 1895 and from its 108ft tall bell tower it is possible see the Isle of Wight.	
1	The University of Santo Tomas College of Architecture is the architectural school of the University of Santo Tomas the oldest and the largest Catholic university in Manila Philippines.Established in 1930 the college is one of the first architectural schools in the Philippines.	
13	The Journal of Sexual Medicine (JSM) is a peer-reviewed medical journal published by Wiley-Blackwell on behalf of the International Society for Sexual Medicine. Besides the latter society it is also an official journal for the International Society for the Study of Women's Sexual Health. The editor-in-chief is Irwin Goldstein (University of California San Diego). The related open access journal Sexual Medicine was launched in 2013.	
9	Agelas clathrodes also known as the orange elephant ear sponge is a species of demosponge. It lives on reefs in the Caribbean usually more than 10 metres (33 ft) below the surface of the ocean. It takes various forms and its colour is reddish orange.	
0	Gold Medal Books launched by Fawcett Publications in 1950 was a U.S. book publisher known for introducing paperback originals a publishing innovation at the time. Fawcett was also an independent newsstand distributor and in 1949 the company negotiated a contract with New American Library to distribute their Mentor and Signet titles.	
8	Księża Wólka [ˈkɕɛ̃ʐa ˈvulka] is a village in the administrative district of Gmina Pęczniew within Poddębice County Łódź Voivodeship in central Poland. It lies approximately 7 kilometres (4 mi) north of Pęczniew 15 km (9 mi) west of Poddębice and 50 km (31 mi) west of the regional capital Łódź.	
12	The Night Walker (1964) is a black-and-white psychological suspense thriller by genre specialist William Castle with a screenplay by Robert Bloch starring Barbara Stanwyck Robert Taylor Hayden Rorke Judi Meredith and Lloyd Bochner as The Dream. The film was one of the last black and white theatrical features released by Universal Pictures and Stanwyck's last motion picture.	
7	Purandar fort (also called Purandhar fort) पुरंदर किल्ला (in Marathi) figures repeatedly in the rising of Shivaji against the Bijapur kingdom and the Mughals. Purandhar fort stands 4472 ft. above the sea (1387 m) in the Western Ghats 20 miles southeast of Pune. It actually consists of two forts - Purandar and Vajragad (or Rudramal). The latter is the smaller of the two and is on the eastern side of the main fort. The village Purandar takes its name from this fort.	
3	Keith Ellison (born February 6 1984) is an American football linebacker who is currently a free agent. He was drafted by the Buffalo Bills in the sixth round of the 2006 NFL Draft. He played college football at Oregon State.	
1	Olentangy Liberty High School is a public comprehensive secondary school located in Powell Ohio. The school was established in 2003 and is the second of three high schools in the Olentangy Local School District. Olentangy Liberty was rated Excellent on the 2013/2014 State of Ohio report card. In 2013 the school received a gold medal ranking as the 5th best high school in the state of Ohio and the 175th best high school in the U.S. by US News and World Report.	
6	Indian God Rock is a large boulder in the northwestern part of the U.S. state of Pennsylvania. Located near the unincorporated community of Brandon it lies along the Allegheny River in Venango County's Rockland Township. It is significant for the large petroglyph on one of its sides. Because of the petroglyph the rock has been an explorers' landmark a tourist attraction and an object of scholarly investigation.	
11	Movin' On is the second album by Playa Fly released in 1998 on Super Sigg Records. This album made Fly a common name in Southern rap with his hit single Nobody Needs Nobody which still gets radio play today.[citation needed] Bill Chill died shortly before the album's completion. Movin' On sold over 80000 units.[citation needed]	
10	Cheilanthes newberryi is a species of lip fern known by the common name Newberry's lip fern. It is native to southern California and Baja California where it grows in rocky places in mostly dry habitat such as the California chaparral and woodlands.	
3	Mohammed Mubarak Suwaid Al-Hinai commonly known as Mohammed Al-Hinai (Arabic: محمد مبارك سويد الهنائي‎; born on 19 July 1984) is an Omani footballer who plays for Fanja SC. He represented the nation team in the 2004 Asian Cup wearing the number 16 jersey.	
10	Hemiandra pungens commonly known as snakebush is a shrub or trailing plant that is endemic to south-west Western Australia. Ranging in height from 5 cm to 100 cm it occurs on rock outcrops. The spotted flowers may be white pink or bluish-purple and appear throughout the year.The species was formally described in 1810 by Scottish botanist Robert BrownThe widely cultivated variety known as Hemiandra pungens var. glabra is currently classified under the species name Hemiandra glabra.	
7	The Fuchseck is a 762m high mountain on the northern edge of the Swabian Alb in Baden-Württemberg Germany.The mountain is surrounded by the towns of Gammelshausen Eschenbach Schlat and Bad Ditzenbach. The summit is on the municipal border of Schlat in the Göppingen District. The mountain is popular for its hiking and mountain biking opportunities.Nearby mountains include the Wasserberg and Sielenwang.	
13	Return of the Living Dead is a 1977 direct sequel to George A. Romero's film Night of the Living Dead written by John Russo co-writer of the original film.A film of the same title was made years after the book was published although it bears no resemblance to the book.	
3	John Nicholls (3 April 1931 – 1 April 1995) better known as Johnny Nicholls or sometimes Jack Nicholls was an English footballer who played as a forward. During his professional career he represented West Bromwich Albion Cardiff City and Exeter City.	
5	USNS Robert E. Peary (T-AKE-5) is a Lewis and Clark-class dry cargo ship in the United States Navy. She is the fourth Navy ship named for Arctic explorer RAdm. Robert E. Peary (1856–1920).The contract to build Robert E. Peary was awarded to National Steel and Shipbuilding Company (NASSCO) of San Diego California on 27 January 2004. Her keel was laid down on 12 December 2006.	
9	Helm's butterfly or the forest ringlet butterfly Dodonidia helmsii is a rare butterfly of the family Nymphalidae endemic to New Zealand. It is the only species in the genus Dodonidia. It feeds on Gahnia spp. and is found mainly in beech (Nothofagus spp.) forest. It has become more endangered due to the rarity of its food plant and the introduction of predatory wasps to New Zealand that prey on their larvae.	
11	A Dotted Line is the fourth major album release and sixth album overall by progressive acoustic trio Nickel Creek. Produced by Eric Valentine the album was released on Nonesuch Records on April 1 2014 in the United States.A Dotted Line is the first Nickel Creek album since the band's hiatus following their 2007 Farewell (For Now) Tour. The release coincided with the trio's 25th anniversary.	
1	The Seemant Institute Of Technology (SIT) is an engineering college located at Pithoragarh Uttarakhand India. It was established in 2011 as a constituent institute of Uttarakhand Technical University. The college was established financed by the government of Uttarakhand and managed by Uttarakhand Technical University. It is ranked among the government engineering colleges of uttarakhand.	
5	The BMW K1600GTL and K1600GT are motorcycles announced by BMW Motorrad in July 2010and unveiled at the Intermot motorcycle show in Cologne in October 2010. The bikes went on sale in March 2011.The K1600GTL is a full dress luxury tourer which replaces the K1200LT and is intended to compete with the Honda Gold Wing. The K1600GT is more of a sport tourer similar to the existing K1300GT and previous K1200GT models.	
8	Piotrkowice [pjɔtrkɔˈvit͡sɛ] is a village in the administrative district of Gmina Żabia Wola within Grodzisk Mazowiecki County Masovian Voivodeship in east-central Poland. It lies approximately 8 kilometres (5 mi) south of Żabia Wola 17 km (11 mi) south of Grodzisk Mazowiecki and 36 km (22 mi) south-west of Warsaw.	
8	Rezaabad (Persian: رضااباد‎ also Romanized as Reẕāābād and Rezāābād; also known as Reẕāābād-e Salīāneh) is a village in Yusefvand Rural District in the Central District of Selseleh County Lorestan Province Iran. At the 2006 census its population was 38 in 8 families.	
4	Kevin P. Engler (born June 23 1959) is a Republican member of the Missouri Senate representing the 3rd District since 2005. He became Majority leader in January 2009. Previously he was a member of the Missouri House of Representatives from 2003 through 2005. He is the Chairman of the Rules Joint Rules Resolutions and Ethics committee and vice chair of the Administration and Gubernatorial Appointments committees. He was born in Festus Missouri and graduated from Festus High School in 1977.	
8	Arab Chegini (Persian: اعراب چگيني‎ also Romanized as ‘Arab Chegīnī; also known as A‘rāb Chegenī) is a village in Paskhan Rural District in the Central District of Darab County Fars Province Iran. At the 2006 census its population was 1196 in 264 families.	
4	Sachivottama Sir Chetpat Pattabhirama Ramaswami Iyer KCSI KCIE (12 November 1879 – 26 September 1966) also called C. P. was an Indian lawyer administrator and politician who served as the Advocate-General of Madras Presidency from 1920 to 1923 Law member of the Executive council of the Governor of Madras from 1923 to 1928 Law member of the Executive Council of the Viceroy of India from 1931 to 1936 and the Diwan of Travancore from 1936 to 1947.	
6	The Sumter County Courthouse built in 1907 is an historic courthouse located at 141 North Main Street in the city of Sumter in Sumter County South Carolina. It was designed in the Beaux Arts style by Darlington native William Augustus Edwards who designed eight other South Carolina courthouses as well as academic buildings at 12 institutions in Florida Georgia and South Carolina. It was built in an I-shape. In the early 1960s it was enlarged and remodeled.	
3	Thomas Clare (20 August 1883 – 6 May 1940) was an English cricketer: a right-handed batsman and right arm fast bowler who played two first-class games for Worcestershire almost five years apart in the 1920s. Both matches were at Amblecote.His highest score of 34 came against Lancashire in the second innings of his debut in August 1920.	
0	Slumberland Furniture Inc. is a furniture retailer in the Midwestern United States founded in 1967. Originally the company specialized in mattresses and La-Z-Boy recliners. Today Slumberland has 127 stores in 12 states. It is one of America's top sellers of La-Z-Boy upholstery and the top seller of Sealy and Simmons in the Midwest.[citation needed] The headquarters are located in Little Canada Minnesota.	
5	The Toyota Carina was an automobile manufactured by Toyota from December 1970 to 2000. It was introduced as a four-door counterpart of the Celica of which it originally shared a platform. Later it was realigned to the Corona platform but retained its performance image with distinctive bodywork and interior — aimed at the youth market and remaining exclusive to Japanese Toyota dealerships Toyota Store.	
11	Enregistrement Public à l'Olympia 1964 is Jacques Brel's second live album. Also known as Olympia 64 the album was reissued in an exteded version on 23 September 2003 under the title Enregistrement Public à l'Olympia 1964 as part of the 16-CD box set Boîte à Bonbons by Barclay (980 817-1). The album is listed in the book 1001 Albums You Must Hear Before You Die.	
8	Maar Shamshah (Arabic: معر شمشه‎ also spelled Maarshmisha) is a village administratively belonging to the Idlib Governorate in northwestern Syria. Nearby localities include the mantiqah (district) center of Maarrat al-Nu'man to the west Maar Shurin to the north Talmanis to the east Maar Shamrin and Deir Sharqi to the southeast and Deir Gharbi to the south.	
13	The Daily Pennsylvanian (The DP) is the independent daily student newspaper of the University of Pennsylvania.It is published every weekday when the university is in session by a staff of more than 250 students. During the summer months a smaller staff produces a weekly version called The Summer Pennsylvanian. The DP also publishes a weekly arts and entertainment magazine called 34th Street Magazine and a weekly newspaper mailed to parents and alumni called The Weekly Pennsylvanian.	
2	Glenn Bolton better known by his stage name Daddy-O is an American hip hop record producer and rapper. He began his career as a member of the pioneer hip-hop group Stetsasonic with Prince Paul. Since then Daddy-O has become a record producer and remixer working with acts such as Freestyle Fellowship Mary J. Blige Queen Latifah Living Colour Big Daddy Kane the B-52's and the Red Hot Chili Peppers.	
4	Jacques-Olivier Bureau (February 6 1820 – February 7 1883) was a Quebec notary and political figure. He was a Liberal member of the Senate of Canada for De Lorimier division from 1867 to 1883.He was born in Trois-Rivières Lower Canada in 1820 and studied there and at the Séminaire de Nicolet. He qualified as a notary in 1843 and practiced at Saint-Rémi and Montreal.	
5	The second Manuel Biplane was a simple biplane glider that was designed and built by Bill (W. L.) Manuel in the UK in the late 1920s. It mostly flew tethered as a kite in the propwash of a stationary powered aircraft.	
9	Nellie L. (foaled 1940 in Kentucky) was an American Thoroughbred racehorse bred and raced by Calumet Farm. She was sired by Blenheim II and out of the mare Nellie Flag.Trained by Ben Jones in 1943 Nellie L. won the Kentucky Oaks and Acorn Stakes two of the most important races for her age group.	
6	Jefferson Street Historic District is a national historic district located at Bluefield Mercer County West Virginia. The district includes 63 contributing buildings in a residential area of Bluefield known as Oakland Addition originally platted in 1910. The buildings are primarily single-family residences with a few multiple family dwellings and one church the College Avenue Baptist Church.	
3	Alexander Roelof Smit (born October 2 1985 in Geldrop) is a Dutch baseball player who is currently a free agent.Smit signed originally with the Minnesota Twins as a non-drafted free agent on July 14 2002 and was claimed off waivers by the Cincinnati Reds on July 12 2007.He's represented the Netherlands at the 2004 Summer Olympics in Athens Greece where he and his team finished in sixth place at the 2008 Summer Olympics in Beijing and at the 2006 and 2009 World Baseball Classic.	
5	The Spyker C12 Zagato is the second production car from the Dutch automobile manufacturer Spyker. The C12 Zagato is an all-aluminium mid-engine/rear-drive exotic luxury sportscar.On March 6 2007 Spyker announced the C12 Zagato at the Salon International de l'Auto in Geneva. The Milanese design house Zagato co-designed the model. The C12 Zagato featured all-new design elements inspired by Formula 1.	
6	The Antlers Guard Station is a rustic cabin located in the Wallowa–Whitman National Forest in northeastern Oregon United States. It was originally built to house fire crews assigned to patrol the surrounding National Forest. Since the 1990s the United States Forest Service rents Antlers Guard Station and other forest cabins and lookout stations to recreational visitors. The Antlers Guard Station is listed on the National Register of Historic Places.	
1	The Nova Southeastern University College of Osteopathic Medicine is the graduate medical school of Nova Southeastern University. It is located in Davie in the U.S. state of Florida.The College of Osteopathic Medicine is part of the Health Professions Division of the university.	
7	Salcantay (Nevado Salcantay) or Salkantay (Nevado Salkantay) Sallqantay in Quechua is the highest peak of the Willkapampa mountain range part of the Peruvian Andes. It is located in the Cusco Region about 60 km (40 mi) west-northwest of the city of Cusco. It is the 38th highest peak in the Andes and the twelfth highest in Peru. However as a range highpoint in deeply incised terrain it is the second most topographically prominent peak in the country after Huascarán.	
4	Colonel Josiah Clement Wedgwood 1st Baron Wedgwood DSO PC DL sometimes referred to as Josiah Wedgwood IV (16 March 1872 – 26 July 1943) was a British Liberal and Labour politician who served in government under Ramsay MacDonald. He was the great-great-grandson of the famous potter Josiah Wedgwood.	
7	The Timișaț Canal or Timișaț River is a drainage canal located between the Bega River and Timiş River. It flows into the Timiş River in the proximity of the village of Grâniceri. For a short reach of 95 m the Timișaț Canal defines the border between Romania and Serbia.	
4	Martin T. Causer is a Republican member of the Pennsylvania House of Representatives for the 67th District and was elected in 2002. He currently serves on the House Commerce Environmental Resources and Energy and Veterans Affairs and Emergency Preparedness Committees. He was named Republican Chairman of the Subcommitee on Parks and Forests within the Environmental Resources and Energy Committee and of the Subcommittee on Programs and Benefits of the Aging and Older Adult Services Committee.	
0	Shandong Gaosu Group or Shandong Hi-Speed Group Corporation (Chinese: 山东高速集团有限公司) (SDHS) is a state-owned enterprise in Jinan China engaging in the construction and management of transportation infrastructure throughout the People's Republic of China. SDHS is owned by the Shandong Provincial People's Government and plays a major role developing and managing highways airports and seaports throughout the province.	
13	Unicorn Variations is a collection of stories and essays by author Roger Zelazny published in 1983. The title story Unicorn Variation was written as a result of Zelazny having been asked to contribute to two different upcoming anthologies — one collecting stories set in bars and one collecting stories about unicorns. When Zelazny mentioned these requests to his close friend George R. R.	
13	The Lawgiver is a novel by Herman Wouk which the author published in 2012 at the age of 97. It is an epistolary novel composed of traditional communications such as letters memos and articles as well as utilizing more contemporary means like e-mails text messages and Skype transcripts.	
10	Tricomaria is a genus in the Malpighiaceae a family of about 75 genera of flowering plants in the order Malpighiales. Tricomaria includes one species T. usillo which occurs in dry vegetation in western Argentina on the eastern side of the Andes.	
12	Corleone is a 1978 Italian crime film also known as Father of the Godfather. It stars Claudia Cardinale Giuliano Gemma and Tony Kendall and is set in Sicily in the 1950s. Gemma was awarded 1979 Best Actor at the Montréal World Film Festival for his role.	
13	The Journal of Sol-Gel Science and Technology is a monthly peer-reviewed scientific journal covering research on sol-gel materials. Recent findings on new products developed via chemical nanotechnology are also included.According to the Journal Citation Reports the Journal of Sol-Gel Science and Technology has a 2012 impact factor of 1.660. It is the official journal of the International Sol-Gel Society.	
10	Cobaea is a genus of flowering plants including about 20 species of rapid growing ornamental climbers native to Mexico. The botanical name honors Father Bernabé Cobo Spanish Jesuit of the seventeenth century naturalist and resident of America for many years. The woody stems can reach 20 ft (6 m). Leaves are alternate lobed with opposite pairs and tendrils.	
2	Mitch Merrett is a record producer music manager and country musician from Langley British Columbia Canada. He plays a Gibson Robot Guitar. He studied music at Selkirk College in Nelson graduating from the Contemporary Music and Technology program with a major in performance. In 2007 he and Tom McKillip were named Record Producers of the Year by the Canadian Country Music Association (CCMA) for their work on Aaron Pritchett's album Big Wheel.	
8	Sarnowa [sarˈnɔva] is a village in the administrative district of Gmina Ślesin within Konin County Greater Poland Voivodeship in west-central Poland. It lies approximately 3 kilometres (2 mi) north-west of Ślesin 19 km (12 mi) north of Konin and 93 km (58 mi) east of the regional capital Poznań.The village has a population of 24.	
7	Maja e Papingut is a peak of the Nemërçkë mountain ridge located in the south of Albania near the Vjosë river. Maja e Papingut is the highest point of Nemerçkë and the highest unshared peak in southern Albania at 2482 m (8143 ft) high. From the rocky summit there is a wonderful view of other Albanian and Greek mountains such as Tomorr and Gramos.	
10	Rehderodendron macrocarpum is a species of flowering plant in the family Styracaceae native to southwestern China (Guangxi Sichuan Yunnan) and northern Vietnam where it grows at altitudes of 1000–1500 m. It is threatened by habitat loss.It is a deciduous small tree growing to 7–10 m tall with a trunk up to 25 cm diameter.	
1	Spokane Valley High School (also known as SVHS) is a enterprising school of choice founded on relationships and driven to actively challenge students. It is a non-traditional all-day project-based school which has won Washington Achievement Award and Washington Designated Innovative Schools Award. In addition to all-day programs the school also offers Transition and G.E.D.	
8	Grabów Rycki [ˈɡrabuf ˈrɨt͡ski] is a village in the administrative district of Gmina Nowodwór within Ryki County Lublin Voivodeship in eastern Poland. It lies approximately 5 kilometres (3 mi) north of Nowodwór 13 km (8 mi) north-east of Ryki and 59 km (37 mi) north-west of the regional capital Lublin.	
1	Skyview High School is a four-year comprehensive public high school in Billings Montana. The school serves 1600 students with 93 certified staff 36 support staff and 10 custodians under principal Deb Black associate principal Danette Cerise and Deans Scott Lynch and Jay Wahl. Skyview sits on 46 acres (190000 m2) and is 258000 square feet (24000 m2) in size. It is the newest of three public high schools in Billings.	
13	Lost Echoes is a crime/mystery novel written by American author Joe R. Lansdale. It was first printed as a limited edition and trade hardcover by Subterranean Press. It was later reissued as a trade paperback by Vintage Crime/Black Lizard publications. The Subterranean editions have long since sold out.	
2	Kaaris (born Gnakouri Okou in Abidjan Côte d'Ivoire on 30 January 1980) is a French rapper signed with Tallac Records a label established by rapper Booba. Or noir his major album on Therapy Music / AZ / Universal Music was on 21 October 2013 after an initial success with Z.E.R.O in 2012.Originating from Sevran a northeastern suburb of Paris France born to Ivory Coast parents he started rapping in 1999 releasing his first mixtape in 2001.	
8	Jalalabad (Persian: جلال اباد‎ also Romanized as Jalālābād; also known as Jalālābād-e Golestān) is a village in Baharestan Rural District in the Central District of Nain County Isfahan Province Iran. At the 2006 census its population was 16 in 8 families.	
4	Professor Sir Hector (James Wright) Hetherington GBE DL (21 July 1888 - 15 January 1965) was a Scottish philosopher who was Vice-Chancellor of the University of Liverpool from 1927 to 1936 and Principal of the University of Glasgow until 1961.	
13	Technology and the Character of Contemporary Life: A Philosophical Inquiry is a 1984 book by Albert Borgmann (born 1937) an American philosopher specializing in the philosophy of technology. Borgmann was born in Freiburg Germany and is a professor of philosophy at the University of Montana.Technology and the Character of Contemporary Life contributed to the emerging philosophical discussions of issues surrounding modern technology.	
11	Notes & Photographs is the debut EP from JamisonParker released October 28 2003 on Interscope Records. Except for Your Song (which was written during the recording session) all the songs were written by Jamison Covington and Parker Case over a distance of 1800 miles. Covington living in Guthrie Kentucky would write a song record a demo of it and mail it to Orange County California where Case would add or rewrite parts and mail it back until the songs were finished.	
2	Nigel Barr grew up as a member of the High Wycombe Salvation Army band. In 1980 he went to the Guildhall School of Music and studied trombone with Peter Gane and Denis Wick during that time he was also a member of International Staff Band (1980–82) playing bass trombone.Since then Barr has had a varied freelance career and several business ventures including setting up in 1982 which manufactured and distributed leather gig bags.	
1	The Autonomous University of Baja California Ensenada is a public research university campus located in Ensenada Baja California. The branch under the Autonomous University of Baja California maintains two sub-campus' or extensions in Valle Dorado and San Quintin.The Ensenada campus is known for being the oceanographic research center in Mexico with its College of Marine science and its Institute for Oceanographic Research which publishes its own international research journal.	
